title,NPC_total,NPC_chunks,NPC_variations,NPC_sequences,NPC_grammar,NPC_ho,NPC_au,unique_pitches,unique_durations,encoding_length,num_unique_chunks,num_variations
"Mouse in the Cupboard, The",146,43,5,64,34,0,0,12,4,65,16,6
McGuckian's Reel,95,39,5,31,20,0,0,12,3,32,8,5
Matt Peoples'* 1  (reel),152,56,3,63,30,0,0,13,4,64,16,3
Ledlow's Chimes (reel),141,38,9,64,30,0,0,8,3,65,12,7
Jolly Banger (reel),146,44,6,64,32,0,0,9,6,65,14,8
"Banard Jig, The",114,18,5,64,27,0,0,6,4,65,6,5
Osborn's #5 (polka),106,13,9,47,37,0,0,6,2,48,6,14
Joe Kilmurry's Jig*,126,23,9,64,30,0,0,9,3,65,7,11
Pat O'Beirne's Favorite,111,11,6,64,30,0,0,5,3,65,5,7
Con O'Flynn's Jig*,138,42,5,64,27,0,0,11,4,65,14,5
Eileen O'Loughlin's* (reel),80,22,7,32,19,0,0,9,3,33,7,8
Mooney's Reel*,117,62,3,30,22,0,0,11,3,31,15,3
"Lass of Ballintra 1 (reel), The",94,36,5,32,21,0,0,9,5,33,10,5
Bob and Joan (Stoneybatter),89,15,6,47,21,0,0,6,3,48,6,8
Quinn's Jig,108,10,9,64,25,0,0,5,3,65,4,9
"Maid At the Well, The",124,28,6,63,27,0,0,10,3,64,9,7
"Cashenbridge Polka, The",119,22,7,63,27,0,0,9,4,64,8,11
"First of August (reel), The",176,82,8,48,38,0,0,13,6,49,23,8
Miss Gunning's Delight* (reel),161,62,6,64,29,0,0,13,3,65,18,7
"Lobster (reel), The",104,44,4,31,25,0,0,9,3,32,13,4
"Queen of the Ceili* (reel), The",106,47,7,31,21,0,0,10,3,32,14,4
"Dolly Varden (polka), The",137,43,2,64,28,0,0,11,4,65,16,3
"Hills of Kesh (reel), The",106,50,3,31,22,0,0,10,2,32,15,2
"Steeplechase (reel), The",164,71,3,63,27,0,0,15,5,64,20,3
"Callan Lasses (reel), The",112,14,8,64,26,0,0,6,2,65,4,8
"Oak Tree (reel), The",345,146,13,111,75,0,0,15,4,112,40,14
Boring the Leather,120,22,6,64,28,0,0,8,4,65,8,6
Tom Keane's (reel),129,25,9,64,31,0,0,8,5,65,9,9
Humors of Tulla (reel),96,44,2,31,19,0,0,8,5,32,12,2
"Kerry Cow (polka), The",123,20,10,63,30,0,0,9,4,64,6,14
Jackson's Jig,120,25,7,64,24,0,0,7,4,65,9,9
Paddy Fahy's Reel 3,148,83,3,32,30,0,0,14,6,33,23,3
"Old Oak Tree (reel), The",222,85,13,79,45,0,0,13,5,80,22,10
"Lassie at the Plow* (reel), The",106,9,9,64,24,0,0,3,2,65,3,9
"Highlander's Kneebuckle (reel), The",121,61,3,31,26,0,0,10,3,32,15,3
Roll Her in the Rushes (reel),79,30,3,31,15,0,0,9,2,32,8,3
"Wandering Minstrel, The",194,50,8,94,42,0,0,12,4,95,21,8
"Barrel of Wash (reel), The",128,32,6,64,26,0,0,8,2,65,10,6
"Frieze Breeches, The",110,17,7,62,24,0,0,8,3,63,8,8
O'Donoghue's Pub*,109,9,6,64,30,0,0,4,2,65,5,6
McFarley's Reel,177,74,7,64,32,0,0,16,4,65,20,8
Padraig O'Keeffe's Slide (1),128,27,11,59,31,0,0,9,5,60,11,15
Whelan's,124,23,9,63,29,0,0,7,3,64,7,11
Martin Wynne's #3 (*) (reel),117,21,6,64,26,0,0,8,4,65,7,6
James McMahon's Jig,95,2,8,64,21,0,0,1,1,65,1,8
Martin Mulhaire's (reel),169,74,3,64,28,0,0,13,5,65,21,3
"Crooked Reel, The",125,69,1,31,24,0,0,12,5,32,17,1
Banish Misfortune,333,45,8,223,57,0,0,15,4,224,16,18
McKiernan's Reel*,75,26,0,31,18,0,0,8,3,32,8,0
"Hunter's Purse (reel), The",125,36,2,64,23,0,0,11,2,65,11,4
"Tinker's Occupation (reel), The",245,85,9,95,56,0,0,14,6,96,26,11
"Old Kerry Cow* (reel), The",99,44,3,31,21,0,0,10,3,32,12,3
O'Connell's Trip to Parliament 1 (reel),94,45,2,31,16,0,0,11,3,32,11,2
"Butcher's March [ii], The",236,44,6,128,58,0,0,8,3,129,20,7
Matt Hayes' Jig,155,51,6,64,34,0,0,11,5,65,19,8
"Swaggering Rake, The",98,26,3,47,22,0,0,9,3,48,9,3
"Shepherd's Daughter* (reel), The",252,79,6,127,40,0,0,15,6,128,22,6
Con's Limerick Lasses (reel),103,47,3,31,22,0,0,11,2,32,12,3
Down the Gort Road* (reel),84,33,4,31,16,0,0,9,3,32,9,5
Mamma Nugent's Pet* (reel),190,18,10,128,34,0,0,8,2,129,5,11
Paddy Fahy's Reel 2,172,70,5,64,33,0,0,16,7,65,19,5
John Joe's,133,30,8,64,31,0,0,8,4,65,10,9
"Hazel Stick, The",129,20,10,63,36,0,0,8,3,64,7,11
Bogan's (reel),71,7,7,33,24,0,0,3,3,34,3,7
"Piper's Delusion* (reel), The",90,38,3,31,18,0,0,9,4,32,10,4
"Fat of the Land* (reel), The",99,46,2,31,20,0,0,11,5,32,13,2
Coppers and Brass,191,45,8,96,42,0,0,9,5,97,17,9
"Hielanman's Kneebuckle (reel), The",172,59,9,64,40,0,0,13,3,65,17,8
Garrett Barry's,230,13,15,150,52,0,0,6,3,151,6,18
Grandpa Tommy's Ceili Band 1 (reel),198,44,9,96,49,0,0,11,5,97,12,9
John Kelly's Favorite (reel),202,29,8,128,37,0,0,8,4,129,8,8
John Brennan from Sligo (reel),155,66,1,63,25,0,0,14,6,64,16,1
Barrel Rafferty's*,122,16,12,64,30,0,0,7,3,65,8,13
Glenn Owen (reel),160,69,6,48,37,0,0,14,3,49,21,7
Within a Mile of Dublin (reel),170,62,5,65,38,0,0,17,7,66,17,5
Liam's Reel,181,70,6,63,42,0,0,9,4,64,20,7
Castle of Gold (hornpipe),138,51,2,64,21,0,0,14,5,65,14,2
Murphy's Greyhound (reel),82,22,5,32,23,0,0,8,4,33,6,6
Meenacross Jig*,114,14,11,64,25,0,0,8,2,65,6,11
"Lamp in the Window* (reel), The",99,50,1,31,17,0,0,13,4,32,12,1
Martin Wynne's Reel 1,140,23,12,65,40,0,0,9,4,66,6,15
"Poor Old Woman (polka), The",113,18,8,63,24,0,0,6,4,64,6,10
Bonnie Kate (first version) (reel),114,54,5,32,23,0,0,13,6,33,13,6
