title,NPC_total,NPC_chunks,NPC_variations,NPC_sequences,NPC_grammar,NPC_ho,NPC_au,unique_pitches,unique_durations,encoding_length,num_unique_chunks,num_variations
"Butcher's March [iii], The",159,16,4,96,43,0,0,7,2,97,9,4
"Bright Lake Polka*, The",131,35,7,64,25,0,0,11,3,65,13,7
"Pretty Brown Girl, The",196,57,11,76,52,0,0,10,4,77,24,16
O'Keeffe's Musical Globe* (slide),130,30,8,64,28,0,0,10,4,65,11,10
"Cuckoo Hornpipe*, The",209,100,3,63,43,0,0,15,5,64,29,4
Dougan's Fancy (reel),84,24,8,32,20,0,0,8,3,33,6,8
Paddy Breen's,149,39,9,62,39,0,0,9,4,63,18,9
Fair and Forty (hornpipe),163,70,2,64,27,0,0,13,3,65,18,3
I Have No Money (reel),128,68,3,30,27,0,0,11,3,31,20,3
Get Up Old Woman*,113,12,8,64,29,0,0,6,3,65,6,10
Sonny's Limestone Rock (reel),83,24,5,32,22,0,0,6,5,33,9,6
Dinny O'Brien's (reel),283,93,10,126,54,0,0,12,4,127,29,12
Hare in the Corn (1),104,8,8,64,24,0,0,4,2,65,4,8
Johnny Mickey's Slide,108,8,7,64,29,0,0,3,3,65,4,12
"Meenacross Reel*, The",109,50,4,32,23,0,0,13,2,33,13,5
"Tinker's Apron (reel), The",143,41,5,65,32,0,0,11,4,66,12,5
"Pinkeen*, The",133,11,10,79,33,0,0,5,3,80,5,14
Wise Nora,289,29,9,192,59,0,0,11,3,193,8,12
"Big Road to Sligo, The",144,35,7,64,38,0,0,9,4,65,13,14
"Earl's Chair (reel), The",140,38,6,64,32,0,0,8,3,65,14,8
John Kelly's Slide,126,20,12,60,34,0,0,8,6,61,9,13
Cleaning the Henhouse (reel),106,53,1,31,21,0,0,13,4,32,15,1
Crowley's Reel,97,39,5,32,21,0,0,9,3,33,10,4
Basket of Eggs 1,103,7,6,64,26,0,0,3,2,65,4,6
Knocknagow 1,108,5,8,64,31,0,0,2,2,65,3,8
Lady Gordon (reel),119,54,7,32,26,0,0,10,4,33,16,6
Taidhg My Darling (reel),87,20,9,31,27,0,0,5,3,32,6,9
"Lad Who Can Do It, The",130,38,3,64,25,0,0,12,3,65,13,4
"Kildare Fancy (hornpipe), The",222,109,8,63,42,0,0,9,5,64,31,8
Back of the Pipes* (reel),149,45,10,64,30,0,0,11,3,65,14,8
"Music Club (reel), The",150,51,7,63,29,0,0,12,2,64,15,7
Down the Hill to Doolin* (reel),159,63,4,63,29,0,0,12,3,64,17,4
Lynch's (reel),106,47,4,32,23,0,0,10,4,33,14,4
"Thatcher's Mallet (reel), The",91,23,7,32,29,0,0,9,3,33,9,7
"Gossoon that Beat His Father (reel), The",97,43,2,32,20,0,0,10,3,33,12,2
"Glin Cottage* (polka), The",131,29,8,62,32,0,0,9,4,63,14,11
"Old Pigeon on the Gate, The",105,50,1,32,22,0,0,10,5,33,14,1
"Salt and Pepper Polka*, The",114,13,10,63,28,0,0,4,4,64,5,12
"Pigeon on the Gate 2 (reel), The",187,66,11,63,47,0,0,13,2,64,22,12
"Luck Penny, The",208,47,11,96,54,0,0,11,4,97,18,19
Dan Sweeney's* 2 (polka),96,12,4,63,17,0,0,5,3,64,4,6
"Queen of the Rushes, The",323,42,9,221,51,0,0,14,4,222,15,11
"Kilkenny Priest*, The",130,29,8,62,31,0,0,11,4,63,13,12
Leahy's Jig,116,16,7,64,29,0,0,6,5,65,7,7
"Irish Washerwoman, The",158,42,8,64,44,0,0,11,3,65,18,14
After the Hare* (reel),104,48,3,31,22,0,0,10,3,32,13,3
"Crib of Perches (reel), The",181,82,6,63,30,0,0,12,4,64,22,5
"Maid Of Mount Kisco (reel), The",212,80,8,79,45,0,0,13,4,80,22,11
Lord Banff's Reel,108,54,2,31,21,0,0,13,3,32,15,2
"Mount Scot Jig*, The",107,14,5,64,24,0,0,6,3,65,7,5
"Battle of Aughrim (polka), The",129,23,11,64,31,0,0,9,4,65,8,14
Buckley the Fiddler* (reel),68,8,7,34,19,0,0,3,3,35,4,7
"Fantastic Reel*, The",123,20,10,64,29,0,0,8,4,65,5,10
Going to the Races,114,10,8,64,32,0,0,4,2,65,6,8
Brother's Pipes* (reel),101,46,2,32,21,0,0,11,3,33,13,3
Alexander's March,78,32,0,31,15,0,0,9,3,32,10,0
Mary of the Grove* (reel),128,63,5,31,29,0,0,10,4,32,18,5
"Union Reel, The",256,102,9,95,50,0,0,11,3,96,30,9
Gerry Commane's (reel),170,67,6,64,33,0,0,13,4,65,21,7
"Skylark (reel), The",180,82,5,63,30,0,0,13,3,64,21,5
"Lady from Baltimore* (reel), The",76,15,7,32,22,0,0,6,3,33,5,7
Mickey Connell's Hornpipe,152,60,3,64,25,0,0,13,5,65,17,3
Farrell O'Gara (reel),229,109,14,62,44,0,0,13,4,63,29,11
"Kid, The",138,30,10,64,34,0,0,10,3,65,13,11
Bean a Ti Ar Lar (reel),101,43,5,32,21,0,0,11,3,33,11,5
Willy Reidy's #2* (polka),126,28,8,63,27,0,0,7,5,64,10,10
Killannan's Fancy (reel),137,76,1,30,30,0,0,12,5,31,26,2
Ginley's Fancy (reel),103,47,5,31,20,0,0,10,3,32,11,5
"Fairhaired Boy, The",96,2,8,64,22,0,0,1,1,65,1,8
"Sailor's Bonnet (reel), The",132,33,6,64,29,0,0,8,4,65,8,6
Father Kelly's Reel,118,20,7,64,27,0,0,7,4,65,5,7
"Miller's Daughter 2 (reel), The",165,64,7,64,30,0,0,9,5,65,19,6
"Bridal Polka, The",139,41,8,59,31,0,0,10,4,60,16,12
Dillon's Reel,171,75,3,63,30,0,0,13,3,64,19,3
Drag Her Around the Road (reel),103,45,3,32,23,0,0,11,4,33,13,4
"Setting of the Sun (reel), The",164,64,4,65,31,0,0,13,4,66,19,5
Old John's,139,36,8,63,32,0,0,12,4,64,12,9
"Pipe on the Hob, The",230,15,17,150,48,0,0,7,4,151,7,19
"Limerick Hunt*, The",129,27,9,64,29,0,0,10,4,65,8,9
"Maid Of Mitchelstown (reel), The",90,40,2,31,17,0,0,10,3,32,10,2
"Yellow Wattle, The",168,30,6,96,36,0,0,6,4,97,13,6
"Concertina Reel, The",133,49,6,47,31,0,0,7,5,48,16,7
"Russians Are Coming (reel), The",138,46,2,64,26,0,0,9,5,65,14,2
Dennis Cronin's Jig*,122,33,2,64,23,0,0,10,4,65,12,2
"Trip to Durrow (reel), The",182,72,8,63,39,0,0,13,3,64,21,8
Belles of St. Louis (reel),216,86,15,61,54,0,0,14,4,62,26,20
"Unfortunate Rake, The",265,64,10,128,63,0,0,14,4,129,24,14
"New Post Office (reel), The",147,63,3,47,34,0,0,11,3,48,20,3
"Prayer Is Better Than a Tune,A",103,10,5,64,24,0,0,4,2,65,6,7
"Rising Sun (b) (reel), The",116,57,4,30,25,0,0,8,4,31,18,4
Tom Billy's,353,51,11,228,63,0,0,13,4,229,19,21
"Templeglantine Reel 1, The",116,51,7,32,26,0,0,9,4,33,15,7
"Shoemaker's Fancy*, The",261,49,8,150,54,0,0,15,3,151,20,12
Biddy the Darling (slide),116,16,7,64,29,0,0,7,3,65,8,10
"Curragh Races (reel), The",109,15,5,64,25,0,0,5,3,65,5,5
Kiss the Bride in Bed (reel),127,31,6,64,26,0,0,9,2,65,10,6
"Dancing Master's ""Reel"" (polka), The",68,19,3,31,15,0,0,6,4,32,6,4
"Lands of Scotland, The",95,24,4,47,20,0,0,8,3,48,9,5
Miss Ramsey (reel),206,90,7,64,45,0,0,15,4,65,25,8
Mulloy's Reel,62,6,5,32,19,0,0,2,2,33,2,5
Jolly Seven (reel),105,42,4,32,27,0,0,9,2,33,12,4
Devaney's Goat (reel),187,71,8,63,45,0,0,10,3,64,24,12
"Old Slipper Shoe (reel), The",143,54,2,63,24,0,0,14,5,64,13,2
My Wife's My Own,94,23,2,47,22,0,0,10,2,48,9,3
Brosna Slide,111,12,7,57,35,0,0,5,3,58,6,7
"Bath Medley, The",126,11,12,63,40,0,0,5,2,64,5,12
"Trip to Yorkshire, The",151,43,3,71,34,0,0,11,5,72,15,5
"Angry Peeler, The",103,11,5,64,23,0,0,5,3,65,6,5
Harbourstown House (reel),134,70,4,31,29,0,0,12,4,32,20,4
Miss Lacey's* (hornpipe),140,46,4,64,26,0,0,9,3,65,15,6
Redhaired Molly,83,9,6,48,20,0,0,4,3,49,5,6
"Thrush in the Bush, The",128,35,5,64,24,0,0,11,2,65,12,6
Mrs. Crehan's (reel),116,57,2,31,26,0,0,8,3,32,17,2
"Ewe Reel, The",171,77,2,63,29,0,0,13,3,64,20,2
Maud Millar* (reel),106,47,3,32,24,0,0,9,5,33,15,3
Garry Castle*,111,33,6,47,25,0,0,11,3,48,12,7
John Flynn's Jig*,116,19,6,63,28,0,0,5,2,64,7,9
Faith Then I Will (Said the Fiddler),95,23,5,47,20,0,0,9,2,48,7,6
Gold Ring on You,241,48,9,128,56,0,0,12,3,129,19,14
"Brown Chest, The",159,61,5,64,29,0,0,11,3,65,18,5
Biddy Martin (polka),67,18,3,31,15,0,0,6,3,32,7,3
Speed the Plough (reel),150,56,4,63,27,0,0,11,4,64,15,5
Thomas' Hornpipe,134,43,3,64,24,0,0,11,3,65,13,3
Foynes Jig,125,18,10,64,33,0,0,8,3,65,9,11
Moloney's Flute* (reel),92,29,7,32,24,0,0,8,3,33,8,7
"Leitrim Fancy, The",129,34,5,63,27,0,0,8,2,64,13,5
Jer the Rigger (polka),138,45,4,63,26,0,0,8,4,64,17,5
Peter Street (reel),148,48,7,63,30,0,0,11,3,64,14,9
"Boy in the Tree (reel), The",165,63,5,64,33,0,0,12,3,65,19,5
Nellie Mahoney's Slide,130,29,7,64,30,0,0,9,3,65,12,8
Padraig's Hope* (reel),129,68,2,32,27,0,0,12,6,33,19,3
